names	logFC	AveExpr	t	P.Value	adj.P.Val	B
ERG	-1.36170123293389	7.08257959703958	-10.7161834501088	2.99144329282865e-22	1.95440961798138e-19	39.8513386527341
ARHGEF15	-1.18230581343347	7.0792160246078	-10.7054694594088	3.23736129411103e-22	2.05791182804031e-19	39.7739669380862
DENND3	-1.21524995612195	8.30219846094541	-10.6980418218168	3.41956090327775e-22	2.11652822223928e-19	39.7203439589463
TEK	-2.28567342584959	8.76172920780543	-10.6795168809826	3.9196902101328e-22	2.36387471134163e-19	39.586663072838
ANKS1A	-0.998193485397932	11.700068993461	-10.6391210382708	5.27711403939262e-22	3.05428846616437e-19	39.2954439810947
SPRYD7	-1.18582333023349	7.42139740569108	-10.6337910701663	5.48811703439445e-22	3.05428846616437e-19	39.2570491970434
LGI3	-3.30399986341181	3.68594416158923	-10.631814203266	5.56849466705546e-22	3.05428846616437e-19	39.2428104702531
CLEC3B /// EXOSC7	-2.96203090063188	8.25672225017767	-10.6314374448373	5.58394575021548e-22	3.05428846616437e-19	39.2400969108678
SEMA3G	-2.08641056854771	7.58091717412774	-10.6056267915685	6.75064678812026e-22	3.60852755583155e-19	39.0542816108722
FAM189A1	-2.75118873615329	3.39530263154349	-10.5714655945613	8.67560549532074e-22	4.5344498055543e-19	38.8086022721078
ACVRL1	-1.88599724142083	8.34683883005129	-10.5394399804498	1.09730676388965e-21	5.57637315753625e-19	38.5785455760986
GOLM1	2.139307413552	10.6863469670254	10.537340617633	1.11432626872536e-21	5.57637315753625e-19	38.5634737395819
BMPR2	-0.929040851561746	9.18107635112017	-10.5167879232037	1.29546609618187e-21	6.34778387129117e-19	38.4159796188718
NEBL	-1.62232062357331	7.63816268683375	-10.4412158344628	2.25190377535379e-21	1.08091381216982e-18	37.8745690163021
CLDN5	-2.52421832669623	9.99629382192052	-10.3902325839241	3.26725479950622e-21	1.53691665768772e-18	37.5101489940493
EML1	-1.47155290288449	8.87879328059772	-10.3842846643003	3.41209093605727e-21	1.573576055217e-18	37.4676784444982
RAMP3	-2.59543501744872	7.55303979570509	-10.3672820791674	3.86230900222156e-21	1.74695207177406e-18	37.3463244211161
SFN	2.07614845289364	13.1157246824822	10.3360373474331	4.84924810457269e-21	2.1519682154632e-18	37.1235178854255
CCDC85A	-2.18529626531077	6.67834502711035	-10.330171034699	5.06077528971627e-21	2.2042487928542e-18	37.0817140536635
PODXL	-1.21374063353266	10.9388523637831	-10.2757520727532	7.51687897525973e-21	3.21449079087471e-18	36.6943593506705
PYCR1	1.46772089252615	8.88276435906063	10.2563123917227	8.65628707196333e-21	3.6356405702246e-18	36.5561811940833
LIMS2	-1.42742921730431	7.95373533006243	-10.2093308773514	1.21697477176743e-20	5.02162221613507e-18	36.2226600047589
STX11	-2.02955312484841	7.56546919135336	-10.2019254172376	1.28403892401747e-20	5.20699922291221e-18	36.1701440331495
SPTBN1	-1.94262158441779	6.89879633384286	-10.1888191894808	1.41186303812056e-20	5.6283082468806e-18	36.0772380860994
CLEC14A	-2.18424600613602	8.69170303940406	-10.1764915812923	1.54361727409144e-20	6.01430337576995e-18	35.9898949676974
MSI2	1.01610022669294	7.03960312153837	10.1750473388371	1.55983208300156e-20	6.01430337576995e-18	35.9796650361345
SPOCK2	-1.6469209967757	8.58861248058029	-10.1697023781674	1.62132858524287e-20	6.15058843950198e-18	35.9418103872224
EDNRB	-2.65761736938389	9.72323951132737	-10.1592483588156	1.74866359433493e-20	6.49286808666639e-18	35.8677948314281
MIR21 /// VMP1	0.934134523497214	12.5830941539284	10.1578239377055	1.76676682630378e-20	6.49286808666639e-18	35.8577121413073
EFNA4	1.25517740778725	8.35800139801336	10.1278954121218	2.19332918689586e-20	7.9364773039678e-18	35.6459960717294
ARHGEF16	1.40298828309366	8.54627596568758	10.1070460138086	2.54959280573905e-20	9.08582163499736e-18	35.4986552331433
TRPC3	-1.35169434649217	5.27946965140218	-10.0976034073353	2.72934058499347e-20	9.58120754612634e-18	35.4319656407639
LOC101927458 /// LPHN2	-1.92419438566813	9.43482486965219	-10.0799846581799	3.09908814784738e-20	1.07191990054956e-17	35.3075987530008
GFOD1	-1.15300191203545	7.93561358328244	-10.0671190686457	3.40016930469955e-20	1.15901423255846e-17	35.2168392937727
ARAP3	-1.06706840511323	7.80251641723556	-10.0317112975504	4.38746115106435e-20	1.47418694675762e-17	34.9673026000744
AKAP2 /// PALM2-AKAP2	-1.50893349975346	11.4605982400565	-10.0259343833646	4.57363647933001e-20	1.51029600291733e-17	34.9266240080601
CD93	-1.49849939065268	11.2485904752222	-10.0244311946357	4.62335511097141e-20	1.51029600291733e-17	34.9160407699871
GPM6A	-3.68383087614992	7.489473035319	-9.99769532841005	5.60307441340328e-20	1.80526452333213e-17	34.7279157451771
EPN3	2.12408336731339	6.49230434675998	9.97963603247827	6.37905471771622e-20	2.02750495892818e-17	34.6009606089367
TACC1	-1.53825559069654	9.38705806015132	-9.97205879974798	6.73563686746892e-20	2.11229572163825e-17	34.5477218021116
QKI	-1.06149463737388	8.87715160973072	-9.95711691594925	7.49789266265478e-20	2.30730282442777e-17	34.4427872214881
FAM107A	-2.84464762949047	8.13660728806848	-9.95608362829179	7.55366996092426e-20	2.30730282442777e-17	34.4355330276838
INPP5A	-1.06216706391264	10.0444104115907	-9.94161087504663	8.37968393820469e-20	2.5267970029048e-17	34.3339601969841
LYVE1	-2.98073706037886	6.56358613304473	-9.9358105270929	8.73540393334564e-20	2.60071772800366e-17	34.2932695106978
MYOC	-1.79464876296156	6.600913139207	-9.90959220363976	1.05400243102476e-19	3.09876714721278e-17	34.109466896653
ADAMTSL3	-2.43670040065885	8.07239416621979	-9.89025783043381	1.21040075324355e-19	3.51464515015904e-17	33.9740552221801
PECAM1	-1.62927781819055	9.2248968794139	-9.87437537359419	1.35597784387226e-19	3.88934132778969e-17	33.8629034453444
RP11-38P22.2	-1.90283861277434	9.12912093364645	-9.87013222220159	1.39773314114672e-19	3.9608052385266e-17	33.8332210138707
TSPAN18	-1.36803740353846	7.42396150883754	-9.86710029720231	1.42834981567504e-19	3.99937948389011e-17	33.8120148864309
PPAP2C	2.2050996024623	9.15369091175426	9.86349926112387	1.46558064472478e-19	4.05534785457964e-17	33.7868318386142
ABHD6	-1.36530934502347	7.47253698580012	-9.85853149865142	1.51853028398708e-19	4.15300375341584e-17	33.7520973164061
RMI2	1.98632469307842	8.31816190473038	9.84755817291077	1.64232661156925e-19	4.43994504644928e-17	33.6753984257282
B3GNT3	2.42001645829968	7.17330013973449	9.83434346456044	1.80479038140403e-19	4.82371247393441e-17	33.5830816575945
MYCT1	-2.10471026078477	7.64738940598453	-9.8253234753091	1.92476038590622e-19	5.08655778387802e-17	33.5200992980514
CASKIN2	-1.33542431594639	6.75187420504383	-9.79321452845688	2.41982672606702e-19	6.3238138441218e-17	33.2960991713683
EMCN	-2.30005960581052	9.57693032825508	-9.79105013604143	2.4574245787763e-19	6.35149737283721e-17	33.2810111891646
GALNT7	1.46341046086551	10.9924135690852	9.77194143640893	2.81558904652141e-19	7.19811460588951e-17	33.1478669864456
ARHGAP6	-1.96346824653229	8.59171130919681	-9.74061355814753	3.51833834147241e-19	8.89799116036892e-17	32.9298271551818
WNT2B	-1.37540431840909	6.73762515592367	-9.73559081317006	3.6461962745328e-19	9.12324855074591e-17	32.894897560742
TMEM74B	-1.36153191363577	7.09594021073163	-9.72376742710863	3.96569111976791e-19	9.81821633020433e-17	32.8127054381365
SOX17	-1.82110739377676	7.47158652390825	-9.70475783543697	4.53868239670108e-19	1.11197718719176e-16	32.6806489558669
THBD	-2.08396397908626	9.56478461021023	-9.69197213949328	4.96962285301049e-19	1.20500545879182e-16	32.5918926617194
AFAP1L1	-1.45440257234334	7.57247611280783	-9.68308339867192	5.29294230323663e-19	1.27030615277679e-16	32.5302187641853
CALCRL	-1.99141595586983	8.13071972012489	-9.68113969908726	5.36638136814991e-19	1.27424572923001e-16	32.5167358654303
FAM199X	1.31780622275072	9.8923196831627	9.67979678598112	5.41771143380106e-19	1.27424572923001e-16	32.5074211512033
LINC00622	-1.93987635929618	7.38282498036264	-9.67575909861059	5.57500089877996e-19	1.29825763504262e-16	32.479418377261
GLIPR2	-1.26629580822905	9.68169182031556	-9.67358955501591	5.66138189703404e-19	1.30544806096314e-16	32.464373963829
AGER	-4.72078420848491	7.55838096966736	-9.66479694392232	6.02529222515729e-19	1.37587255471553e-16	32.4034180285551
KL	-2.39613742300298	7.07746747142379	-9.66016449447269	6.22627533353538e-19	1.40809611389185e-16	32.3713128241332
ST6GALNAC3	-1.6458563110499	6.84144641764872	-9.65114664947556	6.63682408690576e-19	1.48664859546689e-16	32.3088341793397
P2RY1	-1.8788216227271	7.41535053001137	-9.63897428199595	7.23394905508089e-19	1.60511775259908e-16	32.2245410137243
GNG11	-1.96600378114844	9.63095170023941	-9.63589556659623	7.39325173406478e-19	1.62513346528228e-16	32.2032285211886
SPP1	3.89023174168988	11.0625571031803	9.62394287124172	8.04545184010552e-19	1.75212062295631e-16	32.1205143827839
SSR4	1.19360230200468	12.7915601360946	9.62200119653066	8.15666811642212e-19	1.76004434952521e-16	32.1070820717572
ARRB1	-1.42489786360965	8.98463347188139	-9.59233373592312	1.00588510053506e-18	2.13410239741502e-16	31.9019962347154
KANK3	-2.20454674048645	7.7710020640079	-9.59215354755848	1.00716567224944e-18	2.13410239741502e-16	31.9007514912856
LINC00961	-1.53206479698522	7.73945392577941	-9.58557910974934	1.05501356465095e-18	2.21552848576699e-16	31.8553423698842
USHBP1	-2.99233631404611	3.91894857803085	-9.57497588995206	1.13698472771508e-18	2.36653812352732e-16	31.7821362423307
KLF9	-1.32282786732091	7.41126276253158	-9.57021800989865	1.17579441879547e-18	2.42584953772539e-16	31.7492990135975
SYNM	-1.99149870764435	10.3132274285159	-9.54608852948818	1.39382476221785e-18	2.84429038254438e-16	31.5828791101726
MT1M	-2.96940173084086	7.05055028272835	-9.54443429621416	1.41016492740134e-18	2.84429038254438e-16	31.5714768937973
CDO1	-2.14529895766256	7.87355621807184	-9.5439595567626	1.41488934845958e-18	2.84429038254438e-16	31.5682047985752
SEPT8	-1.47702998404819	8.74679983650773	-9.53370885796569	1.52082396534784e-18	3.03133725974417e-16	31.4975708402166
LRRFIP1	-1.32850373823871	10.2913824951593	-9.52145084832492	1.65789180902956e-18	3.27677439902313e-16	31.4131504161688
RCC1	0.995838346924596	8.03653278105327	9.51669866589089	1.71427157394249e-18	3.35997228492728e-16	31.3804355988973
PDK4	-2.77010994658827	6.32660946687148	-9.50809952221722	1.82117568424934e-18	3.54000430525161e-16	31.3212565499731
GCNT3	4.10728750904924	9.48399404812396	9.50408964720605	1.87326522654766e-18	3.60387582046495e-16	31.2936690417161
PEAR1	-1.62422767785572	7.95110557411503	-9.50322574190482	1.88467995713091e-18	3.60387582046495e-16	31.2877261608323
CYYR1	-1.8467094838131	9.91854048256047	-9.50095091270319	1.91506872086782e-18	3.63245292861381e-16	31.2720785882962
IGSF9	2.7997663608928	6.39356753263677	9.49663368639909	1.97408590507387e-18	3.714440038987e-16	31.2423869439094
DACH1	-1.93565948397755	7.17495116000539	-9.48895995917462	2.0834807458016e-18	3.88916405882964e-16	31.1896262403648
PRSS22	0.980314899583391	7.73684848452829	9.47826183364275	2.24610793204433e-18	4.15972114658918e-16	31.1161038461133
SEMA6A	-2.44718017441523	6.42479675292707	-9.45865241863463	2.57761733646613e-18	4.73637185575651e-16	30.9814377558598
ANKRD22	2.3032025634856	8.83651486365176	9.4494490102445	2.74953950020477e-18	5.01311387944311e-16	30.918278283945
PTRF	-0.987615026307715	7.44561286856203	-9.44451414975019	2.84636619809873e-18	5.14973330609863e-16	30.8844238845456
TMED9	0.616614679466553	12.6255103185185	9.44245403905225	2.88778267545285e-18	5.1847823302787e-16	30.8702934122134
SRGAP2B /// SRGAP2C /// SRGAP2C	-1.06585999778375	10.1060685798194	-9.39650285875979	3.98420287764982e-18	7.09912512744878e-16	30.5554811714831
BNIP2	-0.900400008028722	10.6938818264568	-9.39501023707114	4.02602654190275e-18	7.10891790020087e-16	30.5452671455684
DENND2A	-1.64543735313735	7.2859316198934	-9.39415633757983	4.05014880368587e-18	7.10891790020087e-16	30.5394242417354
BDNF	-2.33069767147636	5.4354793531417	-9.37395458695691	4.66463308069989e-18	8.12682741170826e-16	30.4012636513728
ANGPTL1	-2.90537954925844	6.68760098184413	-9.3577058591248	5.22536242298224e-18	9.03061726185032e-16	30.2902387350698
ALDH18A1	1.01407711135433	10.9085232505482	9.35630144727759	5.27686038468992e-18	9.03061726185032e-16	30.2806468488979
GORASP2	0.675645262574394	12.4326978231289	9.35571329910986	5.29857645465708e-18	9.03061726185032e-16	30.2766301005653
SLIT2	-1.88528829132937	10.344478152864	-9.33918732375077	5.94640571473498e-18	1.00618318280983e-15	30.1638146362476
HEG1	-1.29254671323412	11.1093102004291	-9.33686916490926	6.04335857325741e-18	1.01528424030725e-15	30.1479970889451
FABP4	-3.61448131881363	7.27354314850495	-9.31892098757237	6.84908989828435e-18	1.14248648516062e-15	30.0255934149207
TMEM177	1.01526153429121	7.53644572762263	9.31441161283807	7.06775680506664e-18	1.17065943700822e-15	29.994857653195
AGTR1	-2.7129307909722	7.93961403593721	-9.29748295776177	7.95230995662085e-18	1.30796035090715e-15	29.8795351686808
MTX2	0.851600073856792	10.3853220632894	9.29040321382101	8.35406576889208e-18	1.36449740891904e-15	29.8313355158453
UBE2T	2.46160360327638	7.46202516216623	9.28730617013508	8.53609028475455e-18	1.38461271377536e-15	29.8102559821171
GATA2	-0.895239644258628	7.03201820742263	-9.28456732224861	8.70034014610463e-18	1.40158904271494e-15	29.7916172279603
KDM5B	0.975214923286112	10.277628050605	9.27726790109838	9.15357505289201e-18	1.46457200846272e-15	29.7419550273207
ETV4	2.31935622777173	6.4364595976071	9.26909419960054	9.6889636121281e-18	1.53975962268414e-15	29.6863666171666
VAPA	-1.84689817991201	8.81119378536487	-9.20790459918067	1.48171428318213e-17	2.33892080137206e-15	29.2709667826146
LOC285812	-1.70726989085286	9.04474812715977	-9.19894697611827	1.57660919684694e-17	2.472123220656e-15	29.210266640009
TMEM184A	1.40232785254215	7.56620940794184	9.17900829295512	1.81004378644302e-17	2.81935297067151e-15	29.0752570754574
APOLD1	-2.30493847362305	10.3025985682618	-9.17438946019774	1.86883687831877e-17	2.89177916960905e-15	29.0440020470805
LINC00341 /// SYNE3	-1.71519984206664	10.0612330495454	-9.17079869276058	1.91585000175887e-17	2.9451498066254e-15	29.0197090579726
LMO2	-1.20556391039685	9.24148255902794	-9.16255459547738	2.02827656461873e-17	3.0977314805086e-15	28.9639518404083
AGTPBP1	-0.836096895511192	9.02961748533563	-9.1616025475129	2.04167446479648e-17	3.09807634916215e-15	28.9575144293289
PRX	-1.59741177040794	5.95109426889915	-9.15377392273152	2.15522802745123e-17	3.24942071831108e-15	28.9045923456134
FLJ30901 /// SCUBE1	-3.35219738760413	5.31550278172055	-9.14808449412409	2.24166511664088e-17	3.3582142384327e-15	28.8661451679118
NCKAP5	-3.22269361691033	7.42367471594639	-9.13585343544182	2.43930883800919e-17	3.63117366265672e-15	28.7835312848117
STARD9	-1.24415987558929	7.51050318974625	-9.13376856218632	2.47468308055279e-17	3.66066327387431e-15	28.7694545122181
HS6ST2	3.717605978818	10.6381604861399	9.13044513406669	2.53212755155733e-17	3.72222750078927e-15	28.7470184268337
LOC153577	-1.4143269091983	6.12234650946653	-9.10894898858033	2.93700571955242e-17	4.29058226856353e-15	28.60199665645
RNF182	-2.2565911158586	7.4750794661287	-9.10515251515007	3.01491110890279e-17	4.37434760922186e-15	28.5764014605045
GJA4	-1.41644809540971	7.93849569053798	-9.10435468434216	3.03154192305766e-17	4.37434760922186e-15	28.5710232812802
CLEC1A	-1.67907711560029	7.79291649023475	-9.10125267857326	3.09707300840061e-17	4.44165592424282e-15	28.5501148467147
SMPDL3B	1.572164479025	7.52672991705652	9.0824141189491	3.52634314389277e-17	5.02664186329442e-15	28.4232124558562
TIE1	-1.56829457045522	6.37455154938097	-9.0759705225861	3.68632684877379e-17	5.22303659537106e-15	28.3798360372348
FUT2	1.82178473266598	8.06987059312803	9.06334146455034	4.02106890832949e-17	5.66320603137183e-15	28.2948648511479
GGCT	1.03067776827481	12.9291159420428	9.06072225354574	4.09418134342801e-17	5.73185388079921e-15	28.2772495029865
LDB2	-1.84463300718499	9.83049406035486	-9.05322878820172	4.31071923144884e-17	5.9992968238862e-15	28.2268665242886
HEYL	-1.20501092416121	7.99344762549112	-9.0512782620169	4.36892332273919e-17	6.04453391475446e-15	28.2137553650785
FAM162B	-2.06648744445895	9.48822747006167	-9.04388142606321	4.596819866768e-17	6.32264346587037e-15	28.1640475770504
PCAT6	1.53157560438632	7.51431668031627	9.04136445460042	4.67702688618188e-17	6.39556234668592e-15	28.1471377551896
STXBP6	-2.38860555087596	6.12471334141946	-9.02893029851747	5.09409751759498e-17	6.92561697189791e-15	28.0636353132395
IGSF10	-3.06669942629034	8.01030431112417	-9.00937696266787	5.82579386743581e-17	7.87486619322358e-15	27.9324389134704
FAM150B	-2.9530240759591	7.43249031649267	-9.00402163728133	6.04377861210571e-17	8.12283845467008e-15	27.8965311346806
CTHRC1	2.30937659570893	12.9693067267004	8.99717286168708	6.33438240476249e-17	8.46503830454624e-15	27.8506251827584
PGAP1	-1.28345583633489	8.5552271107703	-8.98639707701338	6.8199235820815e-17	9.06240692940999e-15	27.7784325672167
HMBOX1	-1.09294097390796	9.27492024155019	-8.98125718362922	7.06435281106416e-17	9.33447068068702e-15	27.7440129567272
AOC3	-2.5638716025348	11.1600796911577	-8.97496962020702	7.37520655777206e-17	9.69077420328485e-15	27.701921296181
EOGT	-1.15551566165585	9.76219415538992	-8.97095529913518	7.58073151253214e-17	9.90548917637533e-15	27.6750554173127
RP11-389C8.2	-1.62931590328977	8.49068194034733	-8.96018665892436	8.16055678929799e-17	1.06042152311762e-14	27.6030159520856
FHL1	-1.96760745391945	7.79405974586594	-8.93923209561686	9.41784413413647e-17	1.21707524194994e-14	27.4629598254927
FPR2	-1.45405574288067	5.71151461047674	-8.93489782823789	9.70096020808434e-17	1.24681193494068e-14	27.434011041834
BLACAT1	2.76141717919774	7.05456389612204	8.91994198226662	1.07442783897491e-16	1.37339906373314e-14	27.3341745886507
CTNNAL1	-1.31171982563836	10.7466779956412	-8.91052051346389	1.14578959879837e-16	1.45670115479663e-14	27.2713257682108
PLAC9	-1.90928374365785	6.41058079181625	-8.88544011401153	1.35949937996026e-16	1.7189590298596e-14	27.1041832422358
TRIOBP	-0.811974505178758	7.96062671873044	-8.88466601928502	1.36668936472681e-16	1.7189590298596e-14	27.0990282706044
ABCC3	1.96634451715718	8.71851442053775	8.88215889211184	1.3902360806886e-16	1.73535377403179e-14	27.0823339873567
SHANK3	-1.95926285830093	7.60945291776615	-8.88171143110266	1.39448071127555e-16	1.73535377403179e-14	27.0793547171163
AX748273	-2.23670799791495	7.09797739599608	-8.87782936718557	1.43184977755056e-16	1.77031482284725e-14	27.0535104898243
RCCD1	1.04661123494643	8.3985725504415	8.87723807514869	1.43762810868973e-16	1.77031482284725e-14	27.0495745608346
KIAA0040	-0.966469239222196	8.08667833797455	-8.87469837656837	1.46271117085591e-16	1.79182118429849e-14	27.0326706019263
LOC103344931	-1.04233854758409	7.46571815812873	-8.87227645814762	1.48703516933096e-16	1.81217964677017e-14	27.0165528683828
MCAM	-1.55732573565886	9.75475596467557	-8.87111873739255	1.49880378643681e-16	1.8171064462368e-14	27.0088490918747
GPER1	-2.05513332401753	6.1350991133977	-8.87008862884009	1.50935282199775e-16	1.81746489917416e-14	27.0019949107759
PCDH12	-1.38756733487727	8.20043929612029	-8.86958335356517	1.51455408264513e-16	1.81746489917416e-14	26.9986330363765
LINC00312	-1.72859494784511	8.22406456375305	-8.86415291148806	1.57158925705784e-16	1.87633397593911e-14	26.9625074784838
FRMD3	-1.79714207240167	7.89089318152979	-8.86205986430256	1.59413658364648e-16	1.8874370316507e-14	26.9485866702196
PCAT19	-1.74359432756779	8.40830983248841	-8.86180180528306	1.59693864497657e-16	1.8874370316507e-14	26.9468704417706
KIAA1462	-1.40536438498004	8.48033372756025	-8.85970224016252	1.61991847918562e-16	1.90502413152228e-14	26.9329081750058
CDCA7	2.43955091139499	9.14510283836121	8.85570201983411	1.66461254215581e-16	1.93923820458115e-14	26.9063110803801
JAM2	-1.94858445050579	9.52100182950132	-8.85562347934588	1.66550219951272e-16	1.93923820458115e-14	26.9057889333229
ITGA1	-1.44286172159344	9.04024298754133	-8.85197059460778	1.70740497654895e-16	1.97823473144982e-14	26.8815067085823
LINC00472	-1.94216676847074	6.77387359735459	-8.84065627493423	1.8439420834803e-16	2.12595675507141e-14	26.8063282801286
CCBE1	-2.25130109719965	6.91560105628936	-8.83932066560927	1.86075794390404e-16	2.13487935807918e-14	26.7974570194492
ANO6	-0.842982754833676	11.0083725001169	-8.82884506142594	1.99803339686584e-16	2.28124978127595e-14	26.7279007452695
PDLIM2	-1.04746066154634	8.84050802254917	-8.81142548857324	2.2488813779798e-16	2.55525072512488e-14	26.6123313982879
MYZAP	-1.84973134783923	8.68217266117088	-8.77959580552269	2.79055049421296e-16	3.15546863576389e-14	26.4014625313594
LAMC3	-1.51952904374778	6.57653583811196	-8.76374892052824	3.10662097487138e-16	3.49606341286961e-14	26.2966253661549
LRRTM4	-2.34300399071104	5.16918771534877	-8.74997832461812	3.40994197741799e-16	3.81913501470815e-14	26.2056039086855
LATS2	-1.04247371900616	9.79577096315325	-8.74094751610953	3.62462120310179e-16	4.04033605198834e-14	26.145952068209
KCNT2	-1.95910683062092	7.84495754645921	-8.73787200324809	3.70074868880707e-16	4.08830898887977e-14	26.1256444786521
JTB	0.481451739640526	13.6870654189639	8.7378050818583	3.70242268125592e-16	4.08830898887977e-14	26.1252026385368
FRMD5	2.42453038680614	7.05476595818623	8.72053561785052	4.16048409025619e-16	4.57264419639372e-14	26.0112421088893
STX2	-0.850418504829475	8.77266487363544	-8.71900949740792	4.20356846112186e-16	4.59850838165517e-14	26.0011769542453
AFAP1-AS1	4.67015320757425	8.66868635525025	8.71067699701195	4.44672495468047e-16	4.84198939509651e-14	25.9462382111492
SLC41A2	1.7978812081367	8.48195979285497	8.70698985967903	4.55872421186575e-16	4.94106882318352e-14	25.9219365419634
SIX4	2.24023175651074	8.83038604211839	8.70523385837773	4.61304261768889e-16	4.97700744807536e-14	25.9103647497987
CDH3	2.53276861649205	9.84269564842967	8.68479949620453	5.29432546229184e-16	5.68596049648877e-14	25.7757952085818
SLC19A3	-2.04042763836998	5.94822634277893	-8.68322666592406	5.35072048759349e-16	5.72040663037267e-14	25.7654442838032
RAB26	1.40129870371333	6.80458136523105	8.67717000703276	5.5735035392332e-16	5.9316200562337e-14	25.7255941137814
KLF11	-0.921533465795372	9.28678347067986	-8.67375752233101	5.70305024925978e-16	6.04215053435091e-14	25.7031478918969
SDPR	-2.55145584384469	9.9864018552074	-8.66791562090918	5.93178878149019e-16	6.25630816774212e-14	25.6647325330842
HOOK1	1.27169146593527	10.3885977140186	8.65708730822001	6.38008085366279e-16	6.69908489634592e-14	25.5935634238768
LOC100506699	-1.75745103930418	5.54417974006295	-8.65244282126116	6.58250620837962e-16	6.88091315649282e-14	25.5630518965677
ABCB1	-1.83555208511908	6.62513212130831	-8.64630185675267	6.85995741308397e-16	7.13921231662544e-14	25.5227226663651
