ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	80	0.462315531	1.51656839	0.015589197	0.075484532	0.056570216	2631	"tags=28%, list=13%, signal=24%"	KIR2DL1/HSPA6/KLRC2/KIR2DL4/KIR3DL2/CTSL/KLRC1/HSPA1A/TAP1/HSPA1B/PSME2/TAP2/HSP90AA1/HSPA4/KLRC3/KIR2DL3/CTSB/KIR3DL1/HSPA2/HSPA8/PSME1/PSME3
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	64	0.470805945	1.489034516	0.023121107	0.093382232	0.069983252	1322	"tags=27%, list=7%, signal=25%"	UGT1A10/CYP2B6/UGT2B11/UGT2B7/RPE65/UGT1A6/UGT1A8/ADH4/RDH10/ADH7/DHRS9/UGT2B4/UGT1A1/CYP3A5/UGT1A7/UGT2B28/CYP2C18
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM	98	0.48841322	1.639495458	0.001286109	0.014790249	0.011084225	4319	"tags=44%, list=22%, signal=34%"	CDA/RRM2/TXNRD1/UCK2/TK1/NME1/PNP/POLR3G/TYMS/PRIM1/DTYMK/POLE2/NUDT2/NME1-NME2/CTPS1/POLA2/UPP1/NT5C3A/NME2/NT5E/RRM1/TYMP/POLR2J/POLE3/POLR2H/POLR2K/NME4/DUT/POLR2I/POLE4/POLD2/POLE/UMPS/CANT1/PNPT1/PRIM2/DCK/POLD1/POLD4/CAD/POLR1E/POLR3A/ZNRD1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	61	0.492385874	1.540943499	0.012841422	0.069494756	0.05208131	4153	"tags=38%, list=21%, signal=30%"	PYDC1/CXCL8/CCL7/CCL8/RIPK2/BIRC3/IL1B/CCL11/IL6/HSP90AA1/CCL5/CASP5/CXCL1/CCL13/MEFV/HSP90B1/TNF/NFKBIB/PYCARD/TNFAIP3/IL18/MAPK12/CCL2
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	0.492535445	1.579719188	0.010277532	0.067538065	0.050614911	628	"tags=9%, list=3%, signal=9%"	NPY/G6PC/PCK1/SLC2A1/LEP/PPARGC1A
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	54	0.502229706	1.532626599	0.032270764	0.116958076	0.087651648	6179	"tags=57%, list=31%, signal=39%"	HSPD1/HSPA9/ENO1/ENO2/MPHOSPH6/PATL1/LSM1/LSM5/EXOSC3/EXOSC4/LSM2/EXOSC2/LSM3/PNPT1/LSM6/EXOSC5/EXOSC9/LSM8/LSM4/EXOSC8/DCPS/LSM7/ZCCHC7/CNOT10/C1D/CNOT2/CNOT6/EXOSC1/CNOT3/PAPOLA/XRN2
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	114	0.502730393	1.722980718	0.000335272	0.00771125	0.005779026	5188	"tags=56%, list=26%, signal=42%"	ATP12A/COX7B2/COX6B2/COX6B1/CYC1/COX5A/UQCRQ/NDUFA9/UQCRFS1/NDUFB9/COX7A2/NDUFB4/COX7B/COX6A1/UQCRH/UQCRC1/COX6C/COX5B/NDUFA4L2/NDUFB3/ATP6V1F/NDUFS6/NDUFB5/COX17/UQCRB/NDUFB6/NDUFS4/NDUFV2/NDUFA8/COX4I1/NDUFAB1/NDUFA1/UQCRHL/COX8A/COX7A2L/NDUFA10/COX7C/NDUFC1/NDUFS8/NDUFB7/UQCR11/ATP6V0B/PPA1/SDHA/ATP6V1D/NDUFB1/NDUFS1/NDUFA3/ATP6V1G1/SDHB/NDUFS2/NDUFS5/NDUFS3/NDUFA11/NDUFB2/NDUFA6/UQCRC2/NDUFA2/ATP6V0E1/ATP6V1E1/NDUFS7/SDHD/ATP6V1H/NDUFB8
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	44	0.516453199	1.51123335	0.032417728	0.116958076	0.087651648	5526	"tags=55%, list=28%, signal=39%"	RFC4/PCNA/RFC3/POLE2/RFC5/RFC2/RAD23B/CDK7/POLE3/RPA3/POLE4/POLD2/POLE/RAD23A/POLD1/POLD4/GTF2H3/ERCC8/LIG1/CUL4B/MNAT1/POLD3/GTF2H5/CCNH
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	0.528125954	1.614290495	0.007904202	0.055937429	0.041921071	1433	"tags=33%, list=7%, signal=30%"	UGT1A10/UGT2B11/UGT2B7/UGT1A6/SULT2B1/HSD3B1/UGT1A8/CYP11A1/HSD17B2/HSD11B1/AKR1C2/UGT2B4/UGT1A1/AKR1C4/CYP3A5/UGT1A7/UGT2B28/AKR1C3
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	0.539839346	1.694341577	0.003987943	0.031903542	0.023909405	2935	"tags=40%, list=15%, signal=34%"	G6PC/PCK1/ALDOB/PFKP/GAPDH/ALDH3B2/LDHA/PGK1/ADH4/HK2/TPI1/ADH7/ALDOA/PKM/GPI/PGAM1/PGM2/ENO1/ENO2/ADH6/ALDH1A3/DLD/PGAM4/ALDH1B1/LDHB
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	66	0.550813888	1.753564551	0.001571157	0.016060711	0.012036346	3467	"tags=39%, list=18%, signal=33%"	SERPINB5/RRM2/CCNB1/SERPINE1/PMAIP1/CDKN2A/CCNB2/CDK1/GTSE1/CCNE1/PERP/CHEK1/CYCS/SFN/IGFBP3/GADD45A/CDK2/CCNE2/CCNG2/CHEK2/CDK6/CCNB3/CDK4/CCND1/TNFRSF10B/BID
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	125	0.556910757	1.927184771	3.66E-06	0.000168301	0.00012613	6525	"tags=69%, list=33%, signal=46%"	HSPA6/HSPA1A/SNRPF/HSPA1B/SNRPD1/ALYREF/SNRPB/SNRPG/THOC3/SNRPA1/BUD31/MAGOHB/SNRPD2/EIF4A3/SRSF9/WBP11/HSPA2/SF3B6/PRPF4/PPIH/HSPA8/LSM5/HNRNPC/PHF5A/SNRPE/PPIL1/PLRG1/LSM2/MAGOH/PUF60/PRPF19/LSM3/DDX23/LSM6/SNRPA/SNRPC/PRPF40A/EFTUD2/SMNDC1/U2AF2/SF3B5/SF3B4/LSM8/LSM4/NCBP1/TCERG1/SNRNP27/SNW1/NCBP2/BCAS2/TXNL4A/HNRNPA1/SNRPB2/RBM8A/ZMAT2/DHX15/LSM7/RBM17/TRA2B/HNRNPM/HNRNPK/CWC15/SF3B2/PCBP1/U2SURP/SRSF3/PQBP1/SF3B3/SRSF1/CTNNBL1/SNRPD3/SART1/PRPF31/ISY1/SF3A3/USP39/SNRNP40/RBM22/SF3A2/CDC5L/PRPF18/AQR/SRSF2/SRSF7/DDX46/HNRNPA3
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	33	0.559916681	1.556080663	0.026699659	0.101102237	0.075768839	931	"tags=24%, list=5%, signal=23%"	ALDOB/AKR1B10/PFKP/PFKFB4/HK2/AKR1B1/TPI1/ALDOA
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	33	0.561303596	1.559935078	0.026181235	0.101102237	0.075768839	3837	"tags=52%, list=19%, signal=42%"	NEIL3/PCNA/FEN1/POLE2/UNG/POLB/TDG/POLE3/POLE4/POLD2/APEX1/POLE/SMUG1/PARP2/APEX2/POLD1/POLD4
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	0.580296742	1.757760608	0.001459241	0.015794142	0.011836571	1893	"tags=35%, list=10%, signal=32%"	CDA/UGT1A10/UGT2B11/UCK2/UGT2B7/TK1/XDH/UGT1A6/UGT1A8/UGT2B4/UGT1A1/HPRT1/CYP3A5/UGT1A7/UGT2B28/GMPS/UPP1/UGT2A1
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM	26	0.598366682	1.582358555	0.026923965	0.101102237	0.075768839	1542	"tags=27%, list=8%, signal=25%"	G6PC/PFKP/HK2/AKR1B1/GLA/PGM2/B4GALT1
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY	27	0.608759907	1.62129635	0.016400888	0.077378549	0.057989645	2215	"tags=37%, list=11%, signal=33%"	ALDOB/PFKP/G6PD/ALDOA/PGD/GPI/PGM2/DERA/PRPS2/RPE
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	40	0.622720283	1.786406555	0.002223353	0.021531418	0.016136246	2266	"tags=32%, list=12%, signal=29%"	UGT1A10/UGT2B11/UGT2B7/UGT1A6/CP/UGT1A8/UGT2B4/UGT1A1/UGT1A7/UGT2B28/BLVRB/UGT2A1/HCCS
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	26	0.627904411	1.660469985	0.012603967	0.069494756	0.05208131	3837	"tags=50%, list=19%, signal=40%"	RAD51/RAD54L/XRCC2/EME1/BLM/NBN/SSBP1/RAD54B/BRCA2/RPA3/POLD2/POLD1/POLD4
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM	51	0.627915356	1.902000819	0.000240194	0.006313659	0.004731632	1431	"tags=35%, list=7%, signal=33%"	G6PC/UGT1A10/UGT2B11/UGT2B7/UGT1A6/UGT1A8/PYGL/HK2/GPI/UGT2B4/UGT1A1/UGDH/GBE1/PGM2/UGT1A7/UGT2B28/ENPP1/GYS2
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	124	0.628495836	2.166517145	3.10E-09	5.71E-07	4.28E-07	5092	"tags=64%, list=26%, signal=48%"	CCNB1/CCNA2/MAD2L1/CDC20/PLK1/CDC25C/CDC6/CDC45/BUB1B/ORC1/CDKN2A/CCNB2/CDK1/CDC25A/TTK/MCM4/PTTG1/BUB1/PKMYT1/ORC6/ESPL1/CCNE1/MCM7/CHEK1/DBF4/PCNA/MYC/MCM6/SFN/MCM2/CCNA1/YWHAG/GADD45A/YWHAZ/MCM5/E2F2/BUB3/CDK2/E2F1/ORC5/PRKDC/CCNE2/CDK7/CDC7/HDAC2/RBL1/YWHAQ/MCM3/CHEK2/SKP2/CDK6/ANAPC11/ANAPC7/SMAD3/CDC25B/CDC27/CCNB3/CDK4/CCND1/MAD2L2/SMC3/RAD21/SKP1/CDKN1A/YWHAE/CDKN2D/E2F4/ANAPC10/YWHAB/E2F3/HDAC1/ORC2/YWHAH/ANAPC5/CUL1/CDC26/CDC23/ANAPC1/SMC1A
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	30	0.644007451	1.761848643	0.002848322	0.026204562	0.01963843	5324	"tags=67%, list=27%, signal=49%"	PCK1/OGDHL/MDH2/DLD/IDH3A/MDH1/CS/FH/ACLY/DLAT/SDHA/IDH1/SDHB/IDH2/IDH3G/PDHA1/PDHB/SDHD/IDH3B/SUCLA2
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT	22	0.652891949	1.677481319	0.014516207	0.075484532	0.056570216	5745	"tags=73%, list=29%, signal=52%"	SEC61G/SRPRB/SEC61B/SRP72/SRP19/SEC61A1/IMMP2L/SRP68/SPCS1/SPCS2/SEC11A/SPCS3/HSPA5/SRP14/OXA1L/SRP54
KEGG_RIBOSOME	KEGG_RIBOSOME	KEGG_RIBOSOME	87	0.66796337	2.21844506	1.31E-08	1.21E-06	9.04E-07	4914	"tags=79%, list=25%, signal=60%"	RPL22L1/MRPL13/RPS16/RPL10L/RPL26L1/RPLP0/RPS26/RPL35/RPL38/RPS19/RPL8/RPL27/RPL35A/RPS5/RPS7/RPSA/RPS21/RPS18/RPL36/RPS10/RPL36A/RPL7/RPL18A/RPL39/RPL37/RPS17/RPS15/RPS29/RPL23A/RPL29/RPS20/RPL17/RPS4Y1/RPL18/RPL32/RPL4/RPS27A/RPL28/RSL24D1/RPS11/RPS3/RPL30/RPL24/RPL41/RPL37A/RPL6/RPL14/RPL7A/RPS6/RPL26/RPS12/RPS24/RPL36AL/RPL31/RPL13A/RPL19/RPL9/RPS23/RPS2/RPL27A/FAU/RPL12/RPS3A/RPS25/RPL13/RPL5/RPL10/RPL23/UBA52
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	23	0.680551966	1.758147237	0.003886429	0.031903542	0.023909405	4824	"tags=65%, list=25%, signal=49%"	EXO1/RFC4/PCNA/RFC3/RFC5/RFC2/SSBP1/RPA3/POLD2/POLD1/POLD4/MSH6/MSH2/LIG1/MSH3
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25	0.681025993	1.784588752	0.004440287	0.034042199	0.025512174	1893	"tags=44%, list=10%, signal=40%"	UGT1A10/UGT2B11/UGT2B7/UGT1A6/UGT1A8/UGT2B4/UGT1A1/UGDH/UGT1A7/UGT2B28/UGT2A1
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	28	0.695676564	1.888230143	0.00057905	0.009053944	0.006785278	2215	"tags=46%, list=11%, signal=41%"	UGT1A10/UGT2B11/UGT2B7/UGT1A6/UGT1A8/AKR1B1/UGT2B4/UGT1A1/UGDH/UGT1A7/UGT2B28/UGT2A1/RPE
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	36	0.744179868	2.105725459	6.46E-06	0.000237643	0.000178096	3837	"tags=75%, list=19%, signal=60%"	MCM4/MCM7/RFC4/PCNA/RFC3/FEN1/MCM6/RNASEH2A/MCM2/PRIM1/POLE2/RFC5/RFC2/MCM5/POLA2/SSBP1/RNASEH1/POLE3/MCM3/RPA3/DNA2/POLE4/POLD2/POLE/PRIM2/POLD1/POLD4
KEGG_PROTEASOME	KEGG_PROTEASOME	KEGG_PROTEASOME	43	0.744894413	2.172681046	1.43E-06	8.76E-05	6.56E-05	4765	"tags=93%, list=24%, signal=71%"	IFNG/PSMB9/PSMD14/PSMB5/PSME2/PSMC4/PSMA5/PSMB8/PSMA7/PSMD2/PSMD8/PSMB3/PSMB7/PSMD11/PSMB4/POMP/PSMA6/PSMA4/PSMD7/PSMD12/PSMC1/PSMC2/PSMB6/PSMD1/PSME1/PSME3/PSMB2/PSMB1/PSMB10/PSMA3/PSMA2/PSMC5/PSMD4/PSMA1/PSMC6/PSMD3/PSMC3/PSMD6/PSME4/PSMD13
